NOTE: Annotations and predictions are separated with three blanks if annotations take up more than 75 characters
      Annotations/predictions are separated from other annotations/predictions by semi-colon

PREDICTIONS OF LABELLED DATA

GENE           ANNOTATION                                                                 PREDICTIONS
L39059         GO:0006366: transcription from Pol II promoter;                            GO:0006366: transcription from Pol II promoter;GO:0007166: cell surface receptor linked signal transduction;GO:0006959: humoral defense mechanism;
L39060         GO:0006366: transcription from Pol II promoter;                            GO:0006955: immune response;GO:0006366: transcription from Pol II promoter;
M10901         GO:0006366: transcription from Pol II promoter;                            GO:0006366: transcription from Pol II promoter;
L39061         GO:0006366: transcription from Pol II promoter;                            GO:0006955: immune response;GO:0006366: transcription from Pol II promoter;GO:0007267: cell-cell signaling;
M36542         GO:0006366: transcription from Pol II promoter;GO:0006959: humoral defense mechanism;   GO:0006366: transcription from Pol II promoter;GO:0006959: humoral defense mechanism;
M68891         GO:0006366: transcription from Pol II promoter;                            GO:0006366: transcription from Pol II promoter;
S57153         GO:0006366: transcription from Pol II promoter;                            GO:0006366: transcription from Pol II promoter;GO:0006508: proteolysis and peptidolysis;
X64037         GO:0006366: transcription from Pol II promoter;                            GO:0006259: DNA metabolism;GO:0006366: transcription from Pol II promoter;
M96944         GO:0006366: transcription from Pol II promoter;GO:0007048: oncogenesis;GO:0006959: humoral defense mechanism;   GO:0006366: transcription from Pol II promoter;GO:0007155: cell adhesion;GO:0006959: humoral defense mechanism;GO:0007048: oncogenesis;
X17651         GO:0006366: transcription from Pol II promoter;GO:0007498: mesoderm development;   GO:0006366: transcription from Pol II promoter;GO:0007498: mesoderm development;
U21858         GO:0006366: transcription from Pol II promoter;                            GO:0006366: transcription from Pol II promoter;GO:0007267: cell-cell signaling;
L31881         GO:0006366: transcription from Pol II promoter;                            GO:0006259: DNA metabolism;GO:0006366: transcription from Pol II promoter;GO:0000278: mitotic cell cycle;GO:0006091: energy pathways;
Z31560         GO:0006366: transcription from Pol II promoter;                            GO:0006259: DNA metabolism;GO:0006366: transcription from Pol II promoter;
L40357         GO:0006366: transcription from Pol II promoter;                            GO:0006366: transcription from Pol II promoter;
X12492         GO:0006366: transcription from Pol II promoter;                            GO:0006955: immune response;GO:0006915: apoptosis;GO:0006366: transcription from Pol II promoter;GO:0007242: intracellular signaling cascade;
U71300         GO:0006366: transcription from Pol II promoter;                            GO:0006366: transcription from Pol II promoter;GO:0007601: vision;GO:0006411: protein metabolism and modification;
L40371         GO:0006366: transcription from Pol II promoter;                            GO:0006366: transcription from Pol II promoter;GO:0007242: intracellular signaling cascade;
M36653         GO:0006366: transcription from Pol II promoter;GO:0006959: humoral defense mechanism;   GO:0006366: transcription from Pol II promoter;GO:0007582: physiological processes;GO:0006629: lipid metabolism;GO:0006959: humoral defense mechanism;
L34357         GO:0006366: transcription from Pol II promoter;                            GO:0006955: immune response;GO:0006366: transcription from Pol II promoter;GO:0007155: cell adhesion;GO:0007048: oncogenesis;
U77948         GO:0006366: transcription from Pol II promoter;                            GO:0006366: transcription from Pol II promoter;
Y07867         GO:0006366: transcription from Pol II promoter;                            GO:0006366: transcription from Pol II promoter;
M85164         GO:0006366: transcription from Pol II promoter;                            GO:0006259: DNA metabolism;GO:0006366: transcription from Pol II promoter;GO:0006959: humoral defense mechanism;
M85165         GO:0006366: transcription from Pol II promoter;                            GO:0006366: transcription from Pol II promoter;
X85786         GO:0006366: transcription from Pol II promoter;                            GO:0006366: transcription from Pol II promoter;GO:0007582: physiological processes;
Y08223         GO:0006366: transcription from Pol II promoter;GO:0007498: mesoderm development;   GO:0006366: transcription from Pol II promoter;GO:0007498: mesoderm development;
L40380         GO:0006366: transcription from Pol II promoter;                            GO:0006366: transcription from Pol II promoter;
U08015         GO:0006366: transcription from Pol II promoter;                            GO:0006366: transcription from Pol II promoter;
Z35278         GO:0006366: transcription from Pol II promoter;                            GO:0008283: cell proliferation;GO:0006366: transcription from Pol II promoter;GO:0007582: physiological processes;
M81601         GO:0006366: transcription from Pol II promoter;                            GO:0006366: transcription from Pol II promoter;
L40384         GO:0006366: transcription from Pol II promoter;                            GO:0006366: transcription from Pol II promoter;
U08191         GO:0006366: transcription from Pol II promoter;                            GO:0006366: transcription from Pol II promoter;
Z36715         GO:0006366: transcription from Pol II promoter;                            GO:0006366: transcription from Pol II promoter;
U15306         GO:0006366: transcription from Pol II promoter;                            GO:0006366: transcription from Pol II promoter;
D38550         GO:0006366: transcription from Pol II promoter;                            GO:0006366: transcription from Pol II promoter;
S66427         GO:0006366: transcription from Pol II promoter;                            GO:0006366: transcription from Pol II promoter;GO:0007048: oncogenesis;
S66431         GO:0006366: transcription from Pol II promoter;                            GO:0006915: apoptosis;GO:0006366: transcription from Pol II promoter;GO:0000278: mitotic cell cycle;GO:0007048: oncogenesis;
Y08976         GO:0006366: transcription from Pol II promoter;                            GO:0006366: transcription from Pol II promoter;GO:0007267: cell-cell signaling;GO:0006810: transport;GO:0006928: cell motility;
X58072         GO:0006366: transcription from Pol II promoter;                            GO:0008283: cell proliferation;GO:0006366: transcription from Pol II promoter;GO:0007048: oncogenesis;
